sample,read_type,count
e00326-A,filtered,2169
e00326-A,denoisedF,2161
e00326-A,denoisedR,2162
e00326-A,merged,2099
e00326-A,nonchim,2099
e00326-B,input,1179
e00326-B,filtered,1179
e00326-B,denoisedF,1178
e00326-B,denoisedR,1176
e00326-B,merged,1175
e00326-B,nonchim,1175
e00326-C,input,2
e00326-C,filtered,2
e00326-C,denoisedF,1
e00326-C,denoisedR,2
e00326-C,merged,1
e00326-C,nonchim,1
e00327-A,input,767
e00327-A,filtered,765
e00327-A,denoisedF,765
e00327-A,denoisedR,765
e00327-A,merged,765
e00327-A,nonchim,765
e00327-B,input,16
e00327-B,filtered,16
e00327-B,denoisedF,9
e00327-B,denoisedR,11
e00327-B,merged,7
e00327-B,nonchim,7
e00327-C,input,30606
e00327-C,filtered,30479
e00327-C,denoisedF,30455
e00327-C,denoisedR,30441
e00327-C,merged,0
e00327-C,nonchim,0
e00328-A,input,4540
e00328-A,filtered,4530
e00328-A,denoisedF,4524
e00328-A,denoisedR,4524
e00328-A,merged,1004
e00328-A,nonchim,1001
e00328-B,input,19029
e00328-B,filtered,18965
e00328-B,denoisedF,18957
e00328-B,denoisedR,18946
e00328-B,merged,1381
e00328-B,nonchim,1381
e00328-C,input,2776
e00328-C,filtered,2774
e00328-C,denoisedF,2774
e00328-C,denoisedR,2767
e00328-C,merged,2767
e00328-C,nonchim,2767
e00329-A,input,2
e00329-A,filtered,2
e00329-A,denoisedF,2
e00329-A,denoisedR,2
e00329-A,merged,1
e00329-A,nonchim,1
e00329-B,input,6131
e00329-B,filtered,6122
e00329-B,denoisedF,6119
e00329-B,denoisedR,6118
e00329-B,merged,6115
e00329-B,nonchim,6115
e00329-C,input,1
e00329-C,filtered,1
e00329-C,denoisedF,1
e00329-C,denoisedR,1
e00329-C,merged,0
e00329-C,nonchim,0
e00330-A,input,9363
e00330-A,filtered,9342
e00330-A,denoisedF,9319
e00330-A,denoisedR,9294
e00330-A,merged,9245
e00330-A,nonchim,8745
e00330-B,input,49547
e00330-B,filtered,49347
e00330-B,denoisedF,49243
e00330-B,denoisedR,49201
e00330-B,merged,19458
e00330-B,nonchim,18577
e00330-C,input,21320
e00330-C,filtered,21291
e00330-C,denoisedF,21234
e00330-C,denoisedR,21213
e00330-C,merged,21145
e00330-C,nonchim,20421
e00331-A,input,23293
e00331-A,filtered,23216
e00331-A,denoisedF,23201
e00331-A,denoisedR,23186
e00331-A,merged,4146
e00331-A,nonchim,4139
e00331-B,input,69753
e00331-B,filtered,69547
e00331-B,denoisedF,69504
e00331-B,denoisedR,69434
e00331-B,merged,12632
e00331-B,nonchim,12416
e00331-C,input,24870
e00331-C,filtered,24842
e00331-C,denoisedF,24815
e00331-C,denoisedR,24761
e00331-C,merged,24702
e00331-C,nonchim,22710
e00332-C,input,3
e00332-C,filtered,3
e00332-C,denoisedF,1
e00332-C,denoisedR,2
e00332-C,merged,0
e00332-C,nonchim,0
e00333-A,input,4320
e00333-A,filtered,4301
e00333-A,denoisedF,4298
e00333-A,denoisedR,4288
e00333-A,merged,4286
e00333-A,nonchim,4272
e00333-B,input,19
e00333-B,filtered,18
e00333-B,denoisedF,16
e00333-B,denoisedR,15
e00333-B,merged,15
e00333-B,nonchim,15
e00333-C,input,5
e00333-C,filtered,5
e00333-C,denoisedF,4
e00333-C,denoisedR,3
e00333-C,merged,3
e00333-C,nonchim,3
e00334-A,input,17537
e00334-A,filtered,17484
e00334-A,denoisedF,17462
e00334-A,denoisedR,17443
e00334-A,merged,5501
e00334-A,nonchim,5099
e00334-B,input,17026
e00334-B,filtered,16997
e00334-B,denoisedF,16980
e00334-B,denoisedR,16971
e00334-B,merged,16894
e00334-B,nonchim,16511
e00334-C,input,13832
e00334-C,filtered,13805
e00334-C,denoisedF,13798
e00334-C,denoisedR,13780
e00334-C,merged,13766
e00334-C,nonchim,12560
e00335-A,input,6575
e00335-A,filtered,6572
e00335-A,denoisedF,6559
e00335-A,denoisedR,6557
e00335-A,merged,6442
e00335-A,nonchim,5863
e00335-B,input,11302
e00335-B,filtered,11279
e00335-B,denoisedF,11274
e00335-B,denoisedR,11264
e00335-B,merged,11218
e00335-B,nonchim,11126
e00335-C,input,23097
e00335-C,filtered,23068
e00335-C,denoisedF,23048
e00335-C,denoisedR,23019
e00335-C,merged,22861
e00335-C,nonchim,20091
e00336-A,input,22420
e00336-A,filtered,22368
e00336-A,denoisedF,22361
e00336-A,denoisedR,22349
e00336-A,merged,96
e00336-A,nonchim,96
e00336-B,input,10978
e00336-B,filtered,10931
e00336-B,denoisedF,10925
e00336-B,denoisedR,10917
e00336-B,merged,2962
e00336-B,nonchim,2962
e00336-C,input,2
e00336-C,filtered,2
e00336-C,denoisedF,1
e00336-C,denoisedR,1
e00336-C,merged,0
e00336-C,nonchim,0
e00337-A,input,729
e00337-A,filtered,727
e00337-A,denoisedF,725
e00337-A,denoisedR,726
e00337-A,merged,724
e00337-A,nonchim,724
e00337-B,input,40538
e00337-B,filtered,40395
e00337-B,denoisedF,40372
e00337-B,denoisedR,40348
e00337-B,merged,2
e00337-B,nonchim,2
e00337-C,input,5
e00337-C,filtered,4
e00337-C,denoisedF,1
e00337-C,denoisedR,3
e00337-C,merged,1
e00337-C,nonchim,1
e00338-A,input,2895
e00338-A,filtered,2891
e00338-A,denoisedF,2889
e00338-A,denoisedR,2885
e00338-A,merged,2884
e00338-A,nonchim,2884
e00338-B,input,3645
e00338-B,filtered,3629
e00338-B,denoisedF,3625
e00338-B,denoisedR,3623
e00338-B,merged,3
e00338-B,nonchim,3
e00338-C,input,244
e00338-C,filtered,243
e00338-C,denoisedF,237
e00338-C,denoisedR,234
e00338-C,merged,234
e00338-C,nonchim,234
e00339-A,input,15389
e00339-A,filtered,15371
e00339-A,denoisedF,15367
e00339-A,denoisedR,15351
e00339-A,merged,1060
e00339-A,nonchim,1060
e00339-B,input,997
e00339-B,filtered,997
e00339-B,denoisedF,996
e00339-B,denoisedR,996
e00339-B,merged,995
e00339-B,nonchim,995
e00340-A,input,11490
e00340-A,filtered,11476
e00340-A,denoisedF,11457
e00340-A,denoisedR,11441
e00340-A,merged,11342
e00340-A,nonchim,10473
e00340-B,input,34374
e00340-B,filtered,34323
e00340-B,denoisedF,34269
e00340-B,denoisedR,34142
e00340-B,merged,33882
e00340-B,nonchim,31205
e00340-C,input,26793
e00340-C,filtered,26756
e00340-C,denoisedF,26691
e00340-C,denoisedR,26694
e00340-C,merged,26484
e00340-C,nonchim,25471
e00341-A,input,10118
e00341-A,filtered,10105
e00341-A,denoisedF,10091
e00341-A,denoisedR,10088
e00341-A,merged,10023
e00341-A,nonchim,9260
e00341-B,input,37027
e00341-B,filtered,36944
e00341-B,denoisedF,36876
e00341-B,denoisedR,36798
e00341-B,merged,23808
e00341-B,nonchim,22419
e00341-C,input,30848
e00341-C,filtered,30814
e00341-C,denoisedF,30784
e00341-C,denoisedR,30753
e00341-C,merged,30578
e00341-C,nonchim,29326
e00342-A,input,18491
e00342-A,filtered,18433
e00342-A,denoisedF,18428
e00342-A,denoisedR,18407
e00342-A,merged,1
e00342-A,nonchim,1
e00342-B,input,29826
e00342-B,filtered,29758
e00342-B,denoisedF,29743
e00342-B,denoisedR,29716
e00342-B,merged,316
e00342-B,nonchim,256
e00342-C,input,30
e00342-C,filtered,30
e00342-C,denoisedF,26
e00342-C,denoisedR,18
e00342-C,merged,18
e00342-C,nonchim,18
e00343-A,input,9083
e00343-A,filtered,9075
e00343-A,denoisedF,9051
e00343-A,denoisedR,9031
e00343-A,merged,8979
e00343-A,nonchim,8470
e00343-B,input,23767
e00343-B,filtered,23730
e00343-B,denoisedF,23700
e00343-B,denoisedR,23671
e00343-B,merged,23572
e00343-B,nonchim,22627
e00343-C,input,80973
e00343-C,filtered,80788
e00343-C,denoisedF,80709
e00343-C,denoisedR,80653
e00343-C,merged,10635
e00343-C,nonchim,10194
e00344-A,input,28366
e00344-A,filtered,28290
e00344-A,denoisedF,28272
e00344-A,denoisedR,28104
e00344-A,merged,5100
e00344-A,nonchim,4890
e00344-B,input,44616
e00344-B,filtered,44522
e00344-B,denoisedF,44483
e00344-B,denoisedR,44168
e00344-B,merged,15709
e00344-B,nonchim,15173
e00344-C,input,18060
e00344-C,filtered,18047
e00344-C,denoisedF,18045
e00344-C,denoisedR,18014
e00344-C,merged,17953
e00344-C,nonchim,17508
e00345-A,input,45366
e00345-A,filtered,45271
e00345-A,denoisedF,45235
e00345-A,denoisedR,45216
e00345-A,merged,7980
e00345-A,nonchim,7475
e00345-B,input,26487
e00345-B,filtered,26451
e00345-B,denoisedF,26424
e00345-B,denoisedR,26391
e00345-B,merged,26335
e00345-B,nonchim,25162
e00345-C,input,27193
e00345-C,filtered,27171
e00345-C,denoisedF,27159
e00345-C,denoisedR,27117
e00345-C,merged,27048
e00345-C,nonchim,25958
e00346-A,input,14276
e00346-A,filtered,14242
e00346-A,denoisedF,14229
e00346-A,denoisedR,14228
e00346-A,merged,1930
e00346-A,nonchim,5
e00346-C,input,4
e00346-C,filtered,3
e00346-C,denoisedF,2
e00346-C,denoisedR,2
e00346-C,merged,1
e00346-C,nonchim,1
e00347-A,input,10198
e00347-A,filtered,10189
e00347-A,denoisedF,10185
e00347-A,denoisedR,10182
e00347-A,merged,10089
e00347-A,nonchim,9553
e00347-B,input,23833
e00347-B,filtered,23788
e00347-B,denoisedF,23769
e00347-B,denoisedR,23745
e00347-B,merged,23595
e00347-B,nonchim,22518
e00347-C,input,25516
e00347-C,filtered,25487
e00347-C,denoisedF,25474
e00347-C,denoisedR,25456
e00347-C,merged,25289
e00347-C,nonchim,24227
e00348-A,input,11314
e00348-A,filtered,11299
e00348-A,denoisedF,11291
e00348-A,denoisedR,11220
e00348-A,merged,11114
e00348-A,nonchim,10548
e00348-B,input,27725
e00348-B,filtered,27690
e00348-B,denoisedF,27680
e00348-B,denoisedR,27629
e00348-B,merged,27384
e00348-B,nonchim,26083
e00348-C,input,32039
e00348-C,filtered,31995
e00348-C,denoisedF,31958
e00348-C,denoisedR,31938
e00348-C,merged,31674
e00348-C,nonchim,30083
e00349-A,input,15661
e00349-A,filtered,15627
e00349-A,denoisedF,15562
e00349-A,denoisedR,15536
e00349-A,merged,9304
e00349-A,nonchim,8691
e00349-B,input,22857
e00349-B,filtered,22808
e00349-B,denoisedF,22789
e00349-B,denoisedR,22760
e00349-B,merged,22691
e00349-B,nonchim,22052
e00349-C,input,25542
e00349-C,filtered,25510
e00349-C,denoisedF,25496
e00349-C,denoisedR,25444
e00349-C,merged,25305
e00349-C,nonchim,24181
e00350-A,input,76484
e00350-A,filtered,76231
e00350-A,denoisedF,76188
e00350-A,denoisedR,75947
e00350-A,merged,377
e00350-A,nonchim,377
e00350-B,input,34
e00350-B,filtered,27
e00350-B,denoisedF,10
e00350-B,denoisedR,7
e00350-B,merged,4
e00350-B,nonchim,4
e00350-C,input,5754
e00350-C,filtered,5737
e00350-C,denoisedF,5728
e00350-C,denoisedR,5719
e00350-C,merged,5709
e00350-C,nonchim,5709
e00351-A,input,7521
e00351-A,filtered,7508
e00351-A,denoisedF,7505
e00351-A,denoisedR,7483
e00351-A,merged,7457
e00351-A,nonchim,7217
e00351-B,input,19741
e00351-B,filtered,19715
e00351-B,denoisedF,19705
e00351-B,denoisedR,19640
e00351-B,merged,19587
e00351-B,nonchim,19036
e00351-C,input,19376
e00351-C,filtered,19341
e00351-C,denoisedF,19325
e00351-C,denoisedR,19308
e00351-C,merged,19254
e00351-C,nonchim,18829
e00352-A,input,13577
e00352-A,filtered,13552
e00352-A,denoisedF,13513
e00352-A,denoisedR,13504
e00352-A,merged,13308
e00352-A,nonchim,12866
e00352-B,input,24664
e00352-B,filtered,24608
e00352-B,denoisedF,24482
e00352-B,denoisedR,24533
e00352-B,merged,24298
e00352-B,nonchim,22015
e00352-C,input,22440
e00352-C,filtered,22410
e00352-C,denoisedF,22399
e00352-C,denoisedR,22370
e00352-C,merged,22165
e00352-C,nonchim,21540
e00353-A,input,10224
e00353-A,filtered,10216
e00353-A,denoisedF,10203
e00353-A,denoisedR,10196
e00353-A,merged,10124
e00353-A,nonchim,9742
e00353-B,input,27438
e00353-B,filtered,27398
e00353-B,denoisedF,27380
e00353-B,denoisedR,27346
e00353-B,merged,27211
e00353-B,nonchim,26423
e00353-C,input,28569
e00353-C,filtered,28535
e00353-C,denoisedF,28419
e00353-C,denoisedR,28474
e00353-C,merged,28236
e00353-C,nonchim,27373
e00354-A,input,10
e00354-A,filtered,9
e00354-A,denoisedF,7
e00354-A,denoisedR,3
e00354-A,merged,0
e00354-A,nonchim,0
e00354-B,input,25833
e00354-B,filtered,25727
e00354-B,denoisedF,25698
e00354-B,denoisedR,25665
e00354-B,merged,328
e00354-B,nonchim,328
e00354-C,input,21
e00354-C,filtered,20
e00354-C,denoisedF,16
e00354-C,denoisedR,11
e00354-C,merged,7
e00354-C,nonchim,7
e00355-A,input,7997
e00355-A,filtered,7979
e00355-A,denoisedF,7966
e00355-A,denoisedR,7871
e00355-A,merged,7767
e00355-A,nonchim,7276
e00355-B,input,15907
e00355-B,filtered,15879
e00355-B,denoisedF,15836
e00355-B,denoisedR,15672
e00355-B,merged,15490
e00355-B,nonchim,14685
e00355-C,input,19107
e00355-C,filtered,19073
e00355-C,denoisedF,19057
e00355-C,denoisedR,18801
e00355-C,merged,18596
e00355-C,nonchim,17697
e00356-A,input,8547
e00356-A,filtered,8535
e00356-A,denoisedF,8513
e00356-A,denoisedR,8520
e00356-A,merged,8410
e00356-A,nonchim,7964
e00356-B,input,18355
e00356-B,filtered,18324
e00356-B,denoisedF,18307
e00356-B,denoisedR,18268
e00356-B,merged,18116
e00356-B,nonchim,17568
e00356-C,input,26468
e00356-C,filtered,26437
e00356-C,denoisedF,26391
e00356-C,denoisedR,26376
e00356-C,merged,26174
e00356-C,nonchim,25261
e00357-A,input,9332
e00357-A,filtered,9324
e00357-A,denoisedF,9309
e00357-A,denoisedR,9291
e00357-A,merged,9206
e00357-A,nonchim,8620
e00357-B,input,19780
e00357-B,filtered,19759
e00357-B,denoisedF,19734
e00357-B,denoisedR,19643
e00357-B,merged,19524
e00357-B,nonchim,18747
e00357-C,input,20271
e00357-C,filtered,20243
e00357-C,denoisedF,20236
e00357-C,denoisedR,20196
e00357-C,merged,20106
e00357-C,nonchim,19392
e00358-A,input,1082
e00358-A,filtered,1075
e00358-A,denoisedF,1075
e00358-A,denoisedR,1073
e00358-A,merged,1073
e00358-A,nonchim,1073
e00358-B,input,7277
e00358-B,filtered,7269
e00358-B,denoisedF,7264
e00358-B,denoisedR,7255
e00358-B,merged,7246
e00358-B,nonchim,7241
e00358-C,input,9
e00358-C,filtered,9
e00358-C,denoisedF,7
e00358-C,denoisedR,7
e00358-C,merged,7
e00358-C,nonchim,7
e00359-A,input,7211
e00359-A,filtered,7193
e00359-A,denoisedF,7186
e00359-A,denoisedR,7172
e00359-A,merged,7122
e00359-A,nonchim,6876
e00359-B,input,42004
e00359-B,filtered,41902
e00359-B,denoisedF,41840
e00359-B,denoisedR,41616
e00359-B,merged,18944
e00359-B,nonchim,18042
e00359-C,input,21053
e00359-C,filtered,21030
e00359-C,denoisedF,21019
e00359-C,denoisedR,20990
e00359-C,merged,20867
e00359-C,nonchim,20149
e00360-A,input,1637
e00360-A,filtered,1628
e00360-A,denoisedF,1628
e00360-A,denoisedR,1626
e00360-A,merged,9
e00360-A,nonchim,9
e00360-B,input,14845
e00360-B,filtered,14810
e00360-B,denoisedF,14800
e00360-B,denoisedR,14787
e00360-B,merged,14779
e00360-B,nonchim,14779
e00360-C,input,15
e00360-C,filtered,15
e00360-C,denoisedF,15
e00360-C,denoisedR,14
e00360-C,merged,14
e00360-C,nonchim,14
e00361-A,input,9394
e00361-A,filtered,9383
e00361-A,denoisedF,9377
e00361-A,denoisedR,9371
e00361-A,merged,9291
e00361-A,nonchim,9053
e00361-B,input,26218
e00361-B,filtered,26178
e00361-B,denoisedF,26161
e00361-B,denoisedR,26120
e00361-B,merged,26032
e00361-B,nonchim,25065
e00361-C,input,25629
e00361-C,filtered,25605
e00361-C,denoisedF,25571
e00361-C,denoisedR,25557
e00361-C,merged,25399
e00361-C,nonchim,24734
e00362-A,input,13166
e00362-A,filtered,13154
e00362-A,denoisedF,13135
e00362-A,denoisedR,13063
e00362-A,merged,12897
e00362-A,nonchim,12224
e00362-B,input,41306
e00362-B,filtered,41234
e00362-B,denoisedF,41115
e00362-B,denoisedR,41060
e00362-B,merged,29141
e00362-B,nonchim,27892
e00362-C,input,38450
e00362-C,filtered,38401
e00362-C,denoisedF,38310
e00362-C,denoisedR,38233
e00362-C,merged,30980
e00362-C,nonchim,29681
e00363-A,input,1703
e00363-A,filtered,1700
e00363-A,denoisedF,1699
e00363-A,denoisedR,1697
e00363-A,merged,1695
e00363-A,nonchim,1695
e00363-B,input,4235
e00363-B,filtered,4226
e00363-B,denoisedF,4220
e00363-B,denoisedR,4195
e00363-B,merged,4194
e00363-B,nonchim,4193
e00363-C,input,9142
e00363-C,filtered,9130
e00363-C,denoisedF,9115
e00363-C,denoisedR,9080
e00363-C,merged,9072
e00363-C,nonchim,9072
e00364-A,input,15712
e00364-A,filtered,15673
e00364-A,denoisedF,15651
e00364-A,denoisedR,15523
e00364-A,merged,6512
e00364-A,nonchim,6307
e00364-B,input,23241
e00364-B,filtered,23203
e00364-B,denoisedF,23139
e00364-B,denoisedR,23128
e00364-B,merged,23012
e00364-B,nonchim,21672
e00364-C,input,23056
e00364-C,filtered,23012
e00364-C,denoisedF,22991
e00364-C,denoisedR,22958
e00364-C,merged,22582
e00364-C,nonchim,21883
e00365-A,input,6072
e00365-A,filtered,6063
e00365-A,denoisedF,6062
e00365-A,denoisedR,6043
e00365-A,merged,6019
e00365-A,nonchim,5853
e00365-B,input,16948
e00365-B,filtered,16913
e00365-B,denoisedF,16895
e00365-B,denoisedR,16834
e00365-B,merged,16800
e00365-B,nonchim,15793
e00365-C,input,27800
e00365-C,filtered,27715
e00365-C,denoisedF,27620
e00365-C,denoisedR,27526
e00365-C,merged,14601
e00365-C,nonchim,12846
e00366-A,input,19261
e00366-A,filtered,19221
e00366-A,denoisedF,19187
e00366-A,denoisedR,19174
e00366-A,merged,6986
e00366-A,nonchim,6598
e00366-B,input,23604
e00366-B,filtered,23559
e00366-B,denoisedF,23531
e00366-B,denoisedR,23493
e00366-B,merged,23330
e00366-B,nonchim,22186
e00366-C,input,25228
e00366-C,filtered,25189
e00366-C,denoisedF,25155
e00366-C,denoisedR,25130
e00366-C,merged,25015
e00366-C,nonchim,23944
e00367-B,input,16
e00367-B,filtered,16
e00367-B,denoisedF,15
e00367-B,denoisedR,15
e00367-B,merged,15
e00367-B,nonchim,15
e00367-C,input,3
e00367-C,filtered,3
e00367-C,denoisedF,3
e00367-C,denoisedR,3
e00367-C,merged,3
e00367-C,nonchim,3
e00368-A,input,10973
e00368-A,filtered,10963
e00368-A,denoisedF,10960
e00368-A,denoisedR,10941
e00368-A,merged,10901
e00368-A,nonchim,10221
e00368-B,input,24839
e00368-B,filtered,24790
e00368-B,denoisedF,24763
e00368-B,denoisedR,24743
e00368-B,merged,24683
e00368-B,nonchim,23931
e00368-C,input,21563
e00368-C,filtered,21535
e00368-C,denoisedF,21528
e00368-C,denoisedR,21460
e00368-C,merged,21356
e00368-C,nonchim,20346
e00369-A,input,11039
e00369-A,filtered,11026
e00369-A,denoisedF,11022
e00369-A,denoisedR,10997
e00369-A,merged,10959
e00369-A,nonchim,10308
e00369-B,input,30170
e00369-B,filtered,30125
e00369-B,denoisedF,30102
e00369-B,denoisedR,30050
e00369-B,merged,29915
e00369-B,nonchim,29017
e00369-C,input,28484
e00369-C,filtered,28457
e00369-C,denoisedF,28444
e00369-C,denoisedR,28394
e00369-C,merged,28324
e00369-C,nonchim,27478
e00370-A,input,24713
e00370-A,filtered,24660
e00370-A,denoisedF,24632
e00370-A,denoisedR,24459
e00370-A,merged,7373
e00370-A,nonchim,6560
e00370-B,input,37244
e00370-B,filtered,37133
e00370-B,denoisedF,37070
e00370-B,denoisedR,36863
e00370-B,merged,19881
e00370-B,nonchim,19282
e00370-C,input,22620
e00370-C,filtered,22589
e00370-C,denoisedF,22571
e00370-C,denoisedR,22512
e00370-C,merged,22438
e00370-C,nonchim,21479
e00371-A,input,264
e00371-A,filtered,262
e00371-A,denoisedF,257
e00371-A,denoisedR,236
e00371-A,merged,225
e00371-A,nonchim,225
e00371-B,input,9
e00371-B,filtered,8
e00371-B,denoisedF,3
e00371-B,denoisedR,4
e00371-B,merged,2
e00371-B,nonchim,2
e00371-C,input,26354
e00371-C,filtered,26277
e00371-C,denoisedF,26256
e00371-C,denoisedR,26188
e00371-C,merged,25907
e00371-C,nonchim,25907
e00372-C,input,5
e00372-C,filtered,5
e00372-C,denoisedF,5
e00372-C,denoisedR,5
e00372-C,merged,4
e00372-C,nonchim,4
NEGATIVE-Plate1-A,input,13022
NEGATIVE-Plate1-A,filtered,12975
NEGATIVE-Plate1-A,denoisedF,12971
NEGATIVE-Plate1-A,denoisedR,12944
NEGATIVE-Plate1-A,merged,0
NEGATIVE-Plate1-A,nonchim,0
NEGATIVE-Plate1-B,input,49638
NEGATIVE-Plate1-B,filtered,49411
NEGATIVE-Plate1-B,denoisedF,49382
NEGATIVE-Plate1-B,denoisedR,49249
NEGATIVE-Plate1-B,merged,1
NEGATIVE-Plate1-B,nonchim,1
NEGATIVE-Plate1-C,input,9545
NEGATIVE-Plate1-C,filtered,9521
NEGATIVE-Plate1-C,denoisedF,9512
NEGATIVE-Plate1-C,denoisedR,9496
NEGATIVE-Plate1-C,merged,9486
NEGATIVE-Plate1-C,nonchim,9486
POSITIVE-Plate1-A,input,13106
POSITIVE-Plate1-A,filtered,13082
POSITIVE-Plate1-A,denoisedF,13075
POSITIVE-Plate1-A,denoisedR,13068
POSITIVE-Plate1-A,merged,13045
POSITIVE-Plate1-A,nonchim,13045
POSITIVE-Plate1-B,input,27077
POSITIVE-Plate1-B,filtered,27010
POSITIVE-Plate1-B,denoisedF,26997
POSITIVE-Plate1-B,denoisedR,26968
POSITIVE-Plate1-B,merged,26911
POSITIVE-Plate1-B,nonchim,26911
POSITIVE-Plate1-C,input,26616
POSITIVE-Plate1-C,filtered,26557
POSITIVE-Plate1-C,denoisedF,26550
POSITIVE-Plate1-C,denoisedR,26520
POSITIVE-Plate1-C,merged,26496
POSITIVE-Plate1-C,nonchim,26496
